City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,George,ZA,-33.963,22.4617,67.55,37,0,8.05,clear sky
172,Kolvereid,NO,64.8655,11.6047,42.85,71,100,16.26,overcast clouds
173,Takoradi,GH,4.8845,-1.7554,78.24,78,61,6.78,broken clouds
174,Bandarbeyla,SO,9.4942,50.8122,83.84,57,92,21.47,overcast clouds
175,Barcelos,PT,41.5388,-8.6151,65.84,84,100,3.42,overcast clouds
176,Nove Mesto Pod Smrkem,CZ,50.9249,15.2294,56.71,94,94,3.65,overcast clouds
177,Krutikha,RU,53.9599,81.2093,55.18,78,81,8.46,broken clouds
178,Yarmouth,US,41.7057,-70.2286,67.96,79,0,12.66,clear sky
179,Souillac,MU,-20.5167,57.5167,70.18,94,40,3.44,scattered clouds
180,Tornio,FI,65.8481,24.1466,41.02,78,13,3.13,few clouds
181,San Juan,AR,-31.5375,-68.5364,60.91,30,46,12.46,scattered clouds
182,Itarema,BR,-2.9248,-39.9167,75.33,89,50,6.78,scattered clouds
183,Okoneshnikovo,RU,54.8377,75.0834,53.55,81,100,17.9,light rain
184,Guican,CO,6.4618,-72.4113,46.71,92,28,2.51,scattered clouds
185,Long Beach,US,33.767,-118.1892,86.83,75,0,12.66,clear sky
186,Cassilandia,BR,-19.1133,-51.7342,75.09,50,87,3.49,overcast clouds
187,Negombo,LK,7.2083,79.8358,78.85,94,20,5.75,few clouds
188,Lagoa,PT,39.05,-27.9833,64.2,94,100,15.9,overcast clouds
189,Cravo Norte,CO,6.3017,-70.2041,75.76,87,80,5.32,broken clouds
190,Burgos,ES,42.3394,-3.7079,55.81,82,98,5.75,overcast clouds
191,Baguanos,CU,20.7517,-76.0269,76.87,84,17,4.5,few clouds
192,Santa Fe,AR,-31.6333,-60.7,49.01,98,81,1.01,light rain
193,Nicoya,CR,10.1483,-85.452,75.34,93,100,2.8,overcast clouds
194,Iberia,US,29.9502,-91.7507,84.18,75,0,8.01,clear sky
195,Rio Gallegos,AR,-51.6226,-69.2181,41.05,65,0,16.11,clear sky
196,Minab,IR,27.1467,57.0801,86.27,42,0,0.85,clear sky
197,Kanakapura,IN,12.55,77.4167,71.51,90,90,5.53,light rain
