City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
80,Tessalit,ML,2022-06-05 17:58:12,20.1986,1.0114,104.52,5,9,12.33
81,Middleton,GB,2022-06-05 17:58:12,53.55,-2.2,53.98,91,100,8.23
82,Korla,CN,2022-06-05 17:58:13,41.7597,86.1469,76.37,16,0,7.49
83,Yar-Sale,RU,2022-06-05 17:58:13,66.8333,70.8333,38.88,48,31,3.6
84,Ahmadpur,IN,2022-06-05 17:58:14,18.7,76.9333,90.93,32,60,6.67
85,Bredasdorp,ZA,2022-06-05 17:58:14,-34.5322,20.0403,55.81,91,31,4.12
86,Igarka,RU,2022-06-05 17:58:14,67.4667,86.5833,31.95,67,85,10.0
87,Hamilton,US,2022-06-05 17:53:56,39.1834,-84.5333,84.2,41,88,1.99
88,Castro,BR,2022-06-05 17:57:11,-24.7911,-50.0119,64.47,70,83,4.52
89,Shache,CN,2022-06-05 17:58:15,38.4167,77.2406,77.72,18,100,6.49
90,Mehamn,NO,2022-06-05 17:58:15,71.0357,27.8492,44.51,75,91,9.48
91,East London,ZA,2022-06-05 17:59:16,-33.0153,27.9116,58.14,94,0,3.44
92,Springdale,US,2022-06-05 17:59:16,36.1867,-94.1288,68.11,100,75,9.22
93,Pozo Colorado,PY,2022-06-05 17:59:17,-23.4923,-58.7972,88.02,41,43,12.73
94,Ribeira Grande,PT,2022-06-05 17:59:17,38.5167,-28.7,66.6,88,75,4.61
95,Paamiut,GL,2022-06-05 17:59:18,61.994,-49.6678,41.63,73,4,8.3
96,Saint-Philippe,RE,2022-06-05 17:59:18,-21.3585,55.7679,69.39,74,46,13.15
97,Umtata,ZA,2022-06-05 17:59:18,-31.5889,28.7844,51.85,96,53,2.64
98,Pavlovsk,RU,2022-06-05 17:55:37,50.4578,40.1081,62.44,77,100,6.69
99,Quepos,CR,2022-06-05 17:59:19,9.4236,-84.1652,82.98,74,96,5.7
100,Bambous Virieux,MU,2022-06-05 17:59:20,-20.3428,57.7575,74.21,83,75,12.66
101,Semnan,IR,2022-06-05 17:59:20,35.5729,53.3971,83.97,17,64,3.09
102,Coihaique,CL,2022-06-05 17:56:08,-45.5752,-72.0662,46.35,53,100,4.61
103,Sistranda,NO,2022-06-05 17:59:20,63.7256,8.834,49.96,60,19,5.68
104,Guanica,PR,2022-06-05 17:59:21,17.9716,-66.908,91.98,69,100,15.86
105,Narsaq,GL,2022-06-05 17:59:21,60.9167,-46.05,51.42,43,44,5.53
106,Ponta Delgada,PT,2022-06-05 17:59:22,37.7333,-25.6667,66.92,88,40,10.36
107,Rondonopolis,BR,2022-06-05 17:59:22,-16.4708,-54.6356,97.68,19,2,3.24
108,Upernavik,GL,2022-06-05 17:59:23,72.7868,-56.1549,30.43,59,0,8.81
109,Ambilobe,MG,2022-06-05 17:59:23,-13.2,49.05,69.48,75,1,4.47
110,Port Alfred,ZA,2022-06-05 17:59:23,-33.5906,26.891,61.63,74,10,12.24
111,Dingle,PH,2022-06-05 17:59:24,10.9995,122.6711,75.7,92,100,2.44
112,Lagoa,PT,2022-06-05 17:59:24,39.05,-27.9833,63.9,84,100,14.61
113,Nevesinje,BA,2022-06-05 17:59:25,43.2586,18.1133,79.66,68,90,2.33
114,Goundam,ML,2022-06-05 17:59:25,16.4145,-3.6708,106.41,8,5,7.31
115,Bilma,NE,2022-06-05 17:59:26,18.6853,12.9164,98.58,8,18,4.54
116,Kautokeino,NO,2022-06-05 17:59:26,69.0125,23.0412,47.84,40,90,18.9
117,Praia Da Vitoria,PT,2022-06-05 17:59:26,38.7333,-27.0667,68.25,77,20,7.05
118,Laguna,US,2022-06-05 17:59:27,38.421,-121.4238,72.1,77,100,4.61
119,Inirida,CO,2022-06-05 17:59:27,3.8653,-67.9239,81.68,75,84,4.07
120,Port Elizabeth,ZA,2022-06-05 17:59:28,-33.918,25.5701,61.11,82,0,8.05
