City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
371,Pervoye Maya,RU,56.164,44.7196,58.21,82,77,5.75,broken clouds
372,Krasnoselkup,RU,65.7,82.4667,42.46,39,11,7.23,few clouds
373,Lyndon,US,38.2567,-85.6016,73.0,69,40,4.61,scattered clouds
374,Gazanjyk,TM,39.2446,55.5154,93.97,9,17,17.0,few clouds
375,Chimoio,MZ,-19.1164,33.4833,55.26,88,75,9.64,broken clouds
376,Letterkenny,IE,54.95,-7.7333,47.84,92,93,1.39,overcast clouds
377,Watertown,US,42.3709,-71.1828,61.0,73,0,5.75,clear sky
378,Venice,US,27.0998,-82.4543,80.62,85,0,4.61,clear sky
379,Inongo,CD,-1.95,18.2667,69.67,79,100,3.15,overcast clouds
380,Kitgum,UG,3.2783,32.8867,69.64,74,82,3.49,broken clouds
381,Aljustrel,PT,37.8776,-8.1652,53.47,93,11,5.28,few clouds
382,Omboue,GA,-1.5746,9.2618,72.16,96,99,2.24,overcast clouds
383,Rio Gallegos,AR,-51.6226,-69.2181,46.45,57,40,26.46,scattered clouds
384,Xai-Xai,MZ,-25.0519,33.6442,69.82,60,95,16.82,overcast clouds
385,Tabas,IR,33.5959,56.9244,88.63,9,0,2.95,clear sky
386,Methoni,GR,36.8197,21.7049,66.06,64,3,3.47,clear sky
387,Umm Lajj,SA,25.0213,37.2685,87.4,43,38,8.25,scattered clouds
388,Santa Lucia,ES,27.9117,-15.5407,61.92,60,20,20.71,few clouds
389,Papayal,PE,-4.0761,-80.7361,68.34,73,90,3.71,overcast clouds
390,Paracatu,BR,-17.2222,-46.8747,59.59,67,0,2.01,clear sky
391,Arlit,NE,18.7369,7.3853,80.58,42,5,12.82,clear sky
392,Sabha,LY,27.0377,14.4283,76.55,24,0,7.7,clear sky
393,Abu Zabad,SD,12.35,29.25,84.83,43,9,10.83,clear sky
394,Yenagoa,NG,4.9247,6.2642,72.3,96,100,1.57,overcast clouds
395,Olinda,BR,-8.0089,-34.8553,73.13,100,75,6.91,broken clouds
396,Mahabad,IR,36.7631,45.7222,82.29,23,94,7.52,overcast clouds
397,Springbok,ZA,-29.6643,17.8865,51.21,40,0,9.95,clear sky
398,Namibe,AO,-15.1961,12.1522,72.23,41,38,4.61,scattered clouds
399,Sakaraha,MG,-22.9,44.5333,64.51,76,1,3.6,clear sky
400,Caceres,ES,39.522,-6.3748,55.83,67,31,3.4,scattered clouds
401,Visby,SE,57.6409,18.296,53.82,87,0,5.75,clear sky
402,Jumla,NP,29.2747,82.1838,74.84,27,3,6.8,clear sky
403,Carcassonne,FR,43.25,2.1667,63.14,91,0,2.3,clear sky
404,Columbus,US,39.9612,-82.9988,72.12,57,20,8.05,few clouds
405,Chimbote,PE,-9.0853,-78.5783,63.86,89,96,9.55,overcast clouds
406,Maltahohe,NA,-24.8333,16.9833,46.2,45,42,8.23,scattered clouds
407,Ormara,PK,25.2088,64.6357,83.44,76,0,12.88,clear sky
408,Micheweni,TZ,-4.9667,39.8333,74.57,86,100,16.98,light rain
409,Moshenskoye,RU,58.5102,34.5911,53.78,76,94,6.2,overcast clouds
410,Oksfjord,NO,70.2396,22.3479,50.07,69,92,13.94,overcast clouds
411,Calvinia,ZA,-31.4707,19.776,51.03,35,0,7.74,clear sky
412,Chapais,CA,49.7834,-74.8492,51.58,95,64,2.71,broken clouds
413,Albanel,CA,48.8832,-72.4487,53.58,94,97,2.3,overcast clouds
414,Sztum,PL,53.9208,19.0307,60.35,81,95,6.73,overcast clouds
415,Neustadt,DE,49.7117,12.0872,61.29,88,100,3.44,overcast clouds
416,Beira,MZ,-19.8436,34.8389,66.29,82,40,11.5,scattered clouds
417,Marica,BR,-22.9194,-42.8186,58.95,78,3,8.66,clear sky
418,Havoysund,NO,70.9963,24.6622,44.83,79,90,26.28,overcast clouds
419,Brasilia De Minas,BR,-16.2064,-44.4333,58.87,73,0,10.22,clear sky
420,Teya,RU,60.3778,92.6267,55.0,51,97,3.96,overcast clouds
421,Saint-Louis,SN,16.3333,-15.0,79.5,52,4,14.56,clear sky
422,Mehran,IR,33.1222,46.1646,105.64,9,34,7.16,scattered clouds
423,Kuri,KR,37.5986,127.1394,71.49,56,75,12.66,broken clouds
424,Gao,ML,16.6362,1.637,83.48,32,2,17.54,clear sky
425,Kindu,CD,-2.95,25.95,67.62,83,98,1.83,overcast clouds
426,Olafsvik,IS,64.8945,-23.7142,42.01,56,90,14.61,overcast clouds
427,Port-Cartier,CA,50.0334,-66.8654,44.74,83,11,3.06,few clouds
428,Careiro Da Varzea,BR,-3.2003,-59.8119,74.03,97,100,4.34,overcast clouds
429,Khromtau,KZ,50.2503,58.4347,74.32,44,18,8.34,few clouds
430,Gayeri,BF,12.6497,0.4931,80.19,61,61,14.36,broken clouds
431,Bahia Blanca,AR,-38.7196,-62.2724,49.59,65,14,11.27,few clouds
432,Lagos,NG,6.5833,3.75,77.32,85,100,2.66,overcast clouds
433,Maragogi,BR,-9.0122,-35.2225,73.69,88,40,4.5,scattered clouds
434,Urambo,TZ,-5.0667,32.05,60.76,59,75,4.54,broken clouds
435,Puerto Leguizamo,CO,-0.1934,-74.7819,72.75,96,100,0.78,heavy intensity rain
436,Acton Vale,CA,45.6501,-72.5658,52.9,98,20,4.34,few clouds
437,Asfi,MA,32.2994,-9.2372,64.47,86,1,13.53,clear sky
438,Nantucket,US,41.2835,-70.0995,61.0,91,0,5.75,clear sky
439,Sokoni,TZ,-6.4333,39.55,75.58,81,100,17.78,light rain
440,Abrau-Dyurso,RU,44.69,37.59,69.26,78,12,2.84,few clouds
441,Pital,CO,2.2665,-75.8044,65.61,92,93,4.9,overcast clouds
442,Tocopilla,CL,-22.092,-70.1979,63.63,71,86,4.54,overcast clouds
443,Angoche,MZ,-16.2325,39.9086,67.66,90,95,11.97,overcast clouds
444,Talnakh,RU,69.4865,88.3972,33.21,62,33,3.24,scattered clouds
445,Thompson,CA,55.7435,-97.8558,53.76,71,40,5.75,scattered clouds
446,Manakara,MG,-22.1333,48.0167,67.06,93,67,5.44,broken clouds
